PassengerId,Age,VIP,Name,Transported
0001_01,0.49367088607594933,False,Maham Ofracculy,False
0002_01,0.3037974683544304,False,Juanna Vines,True
0003_01,0.7341772151898734,True,Altark Susent,False
0003_02,0.4177215189873418,False,Solam Susent,False
0004_01,0.20253164556962025,False,Willy Santantines,True
0005_01,0.5569620253164557,False,Sandie Hinetthews,True
0006_01,0.3291139240506329,False,Billex Jacostaffey,True
0006_02,0.35443037974683544,False,Candra Jacostaffey,True
0007_01,0.4430379746835443,False,Andona Beston,True
0008_01,0.17721518987341772,False,Erraiam Flatic,True
0008_02,0.43037974683544306,False,Altardr Flatic,True
0008_03,0.569620253164557,False,Wezena Flatic,True
0009_01,0.4050632911392405,False,Berers Barne,True
0010_01,0.6075949367088608,False,Reney Baketton,False
0011_01,0.35443037974683544,False,Elle Bertsontry,True
0012_01,0.3924050632911392,False,Justie Pooles,False
0014_01,0.34177215189873417,False,Flats Eccle,False
0015_01,0.3037974683544304,False,Carry Hughriend,False
0016_01,0.569620253164557,False,Alus Upead,True
0017_01,0.0,False,Lyde Brighttt,True
0017_02,0.17721518987341772,False,Philda Brighttt,False
0020_01,0.012658227848101266,False,Almary Brantuarez,False
0020_02,0.620253164556962,False,Glendy Brantuarez,False
0020_03,0.3670886075949367,False,Mollen Mcfaddennon,False
0020_04,0.12658227848101267,False,Breney Jacostanley,True
0020_05,0.012658227848101266,False,Mael Brantuarez,False
0020_06,0.08860759493670886,False,Terta Mcfaddennon,False
0022_01,0.26582278481012656,False,Alraium Disivering,False
0024_01,0.7848101265822784,False,Penton Fullided,True
0025_01,0.18987341772151897,False,Karard Brookenson,False
0026_01,0.43037974683544306,False,Anyoni Unconary,False
0028_01,0.5443037974683544,False,Ceros Mare,False
0030_01,0.4050632911392405,False,Ginia Morsentley,False
0031_01,0.5949367088607594,False,Coobix Datie,True
0031_02,0.02531645569620253,False,Cinets Datie,True
0031_03,0.25316455696202533,False,Dontch Datie,True
0034_01,0.35443037974683544,False,Ziba Oingwhedly,True
0035_01,0.2911392405063291,False,Luse Butte,False
0036_01,0.18987341772151897,0.023439340400471142,Marina Leodger,False
0038_01,0.25316455696202533,False,Loise Wheelez,False
0039_01,0.37974683544303794,False,Jorgie Batthewitt,False
